dx; dy; l_max; epsilon
0.00660692; 0.00660692; 100000; 0.001
Iteration; Residual; Error
1; 789937; 1061.57
2; 572333; 1061.04
3; 457282; 1060.61
4; 384857; 1060.25
5; 334555; 1059.92
6; 297327; 1059.62
7; 268522; 1059.34
8; 245486; 1059.08
9; 226589; 1058.84
10; 210772; 1058.61
11; 197312; 1058.39
12; 185701; 1058.18
13; 175569; 1057.97
14; 166639; 1057.78
15; 158702; 1057.59
16; 151595; 1057.4
17; 145188; 1057.23
18; 139380; 1057.05
19; 134086; 1056.88
20; 129239; 1056.72
21; 124782; 1056.56
22; 120668; 1056.4
23; 116858; 1056.25
24; 113316; 1056.1
25; 110016; 1055.95
26; 106931; 1055.8
27; 104041; 1055.66
28; 101327; 1055.52
29; 98772.5; 1055.39
30; 96363.5; 1055.25
31; 94087.3; 1055.12
32; 91932.7; 1054.99
33; 89889.8; 1054.86
34; 87949.9; 1054.73
35; 86104.9; 1054.61
36; 84347.8; 1054.48
37; 82672.1; 1054.36
38; 81072.2; 1054.24
39; 79542.7; 1054.12
40; 78078.8; 1054
41; 76676.4; 1053.89
42; 75331.3; 1053.77
43; 74040.1; 1053.66
44; 72799.4; 1053.55
45; 71606.1; 1053.44
46; 70457.5; 1053.33
47; 69351; 1053.22
48; 68284.3; 1053.11
49; 67255; 1053
50; 66261.3; 1052.9
51; 65301.1; 1052.79
52; 64372.9; 1052.69
53; 63474.8; 1052.59
54; 62605.5; 1052.49
55; 61763.4; 1052.38
56; 60947.3; 1052.28
57; 60156; 1052.19
58; 59388.2; 1052.09
59; 58642.9; 1051.99
60; 57919.1; 1051.89
61; 57215.8; 1051.8
62; 56532.2; 1051.7
63; 55867.3; 1051.61
64; 55220.3; 1051.51
65; 54590.6; 1051.42
66; 53977.4; 1051.33
67; 53380.1; 1051.24
68; 52797.9; 1051.15
69; 52230.4; 1051.06
70; 51676.9; 1050.97
71; 51136.9; 1050.88
72; 50609.8; 1050.79
73; 50095.3; 1050.7
74; 49592.9; 1050.61
75; 49102.1; 1050.53
76; 48622.4; 1050.44
77; 48153.5; 1050.35
78; 47695.1; 1050.27
79; 47246.7; 1050.18
80; 46808.1; 1050.1
81; 46378.8; 1050.01
82; 45958.7; 1049.93
83; 45547.3; 1049.85
84; 45144.4; 1049.77
85; 44749.7; 1049.68
86; 44363; 1049.6
87; 43984; 1049.52
88; 43612.4; 1049.44
89; 43248.2; 1049.36
90; 42890.9; 1049.28
91; 42540.5; 1049.2
92; 42196.6; 1049.12
93; 41859.2; 1049.04
94; 41528.1; 1048.97
95; 41203; 1048.89
96; 40883.7; 1048.81
97; 40570.2; 1048.73
98; 40262.2; 1048.66
99; 39959.7; 1048.58
100; 39662.4; 1048.51
101; 39370.2; 1048.43
102; 39083; 1048.35
103; 38800.6; 1048.28
104; 38523; 1048.21
105; 38249.9; 1048.13
106; 37981.4; 1048.06
107; 37717.2; 1047.98
108; 37457.2; 1047.91
109; 37201.4; 1047.84
110; 36949.6; 1047.77
111; 36701.8; 1047.69
112; 36457.8; 1047.62
113; 36217.6; 1047.55
114; 35981; 1047.48
115; 35748.1; 1047.41
116; 35518.6; 1047.34
117; 35292.5; 1047.27
118; 35069.8; 1047.2
119; 34850.3; 1047.13
120; 34634; 1047.06
121; 34420.8; 1046.99
122; 34210.6; 1046.92
123; 34003.5; 1046.85
124; 33799.2; 1046.78
125; 33597.8; 1046.71
126; 33399.1; 1046.64
127; 33203.2; 1046.58
128; 33009.9; 1046.51
129; 32819.3; 1046.44
130; 32631.2; 1046.37
131; 32445.6; 1046.31
132; 32262.4; 1046.24
133; 32081.7; 1046.17
134; 31903.3; 1046.11
135; 31727.2; 1046.04
136; 31553.3; 1045.98
137; 31381.7; 1045.91
138; 31212.2; 1045.85
139; 31044.8; 1045.78
140; 30879.6; 1045.72
141; 30716.3; 1045.65
142; 30555.1; 1045.59
143; 30395.8; 1045.52
144; 30238.5; 1045.46
145; 30083.1; 1045.39
146; 29929.5; 1045.33
147; 29777.7; 1045.27
148; 29627.7; 1045.2
149; 29479.5; 1045.14
150; 29332.9; 1045.08
151; 29188.1; 1045.02
152; 29045; 1044.95
153; 28903.4; 1044.89
154; 28763.5; 1044.83
155; 28625.1; 1044.77
156; 28488.3; 1044.71
157; 28353; 1044.64
158; 28219.2; 1044.58
159; 28086.9; 1044.52
160; 27956; 1044.46
161; 27826.5; 1044.4
162; 27698.4; 1044.34
163; 27571.7; 1044.28
164; 27446.4; 1044.22
165; 27322.3; 1044.16
166; 27199.6; 1044.1
167; 27078.1; 1044.04
168; 26957.9; 1043.98
169; 26838.9; 1043.92
170; 26721.2; 1043.86
171; 26604.7; 1043.8
172; 26489.3; 1043.74
173; 26375.1; 1043.68
174; 26262.1; 1043.63
175; 26150.1; 1043.57
176; 26039.3; 1043.51
177; 25929.6; 1043.45
178; 25820.9; 1043.39
179; 25713.3; 1043.33
180; 25606.8; 1043.28
181; 25501.3; 1043.22
182; 25396.8; 1043.16
183; 25293.2; 1043.11
184; 25190.7; 1043.05
185; 25089.1; 1042.99
186; 24988.5; 1042.93
187; 24888.8; 1042.88
188; 24790.1; 1042.82
189; 24692.2; 1042.76
190; 24595.3; 1042.71
191; 24499.2; 1042.65
192; 24404.1; 1042.6
193; 24309.7; 1042.54
194; 24216.3; 1042.48
195; 24123.6; 1042.43
196; 24031.8; 1042.37
197; 23940.8; 1042.32
198; 23850.6; 1042.26
199; 23761.2; 1042.21
200; 23672.5; 1042.15
201; 23584.7; 1042.1
202; 23497.6; 1042.04
203; 23411.2; 1041.99
204; 23325.6; 1041.93
205; 23240.7; 1041.88
206; 23156.6; 1041.83
207; 23073.1; 1041.77
208; 22990.3; 1041.72
209; 22908.3; 1041.66
210; 22826.9; 1041.61
211; 22746.2; 1041.56
212; 22666.1; 1041.5
213; 22586.7; 1041.45
214; 22508; 1041.4
215; 22429.9; 1041.34
216; 22352.4; 1041.29
217; 22275.6; 1041.24
218; 22199.3; 1041.18
219; 22123.7; 1041.13
220; 22048.7; 1041.08
221; 21974.2; 1041.03
222; 21900.4; 1040.97
223; 21827.1; 1040.92
224; 21754.4; 1040.87
