epsilon; h; error; last_iteration
0.1; 0.1232; 48.7316; 21
0.1; 0.0416105; 162.194; 18
0.1; 0.0250326; 274.203; 18
0.1; 0.0179008; 386.094; 18
0.1; 0.0139317; 497.946; 18
0.1; 0.0114032; 609.78; 18
0.1; 0.00965159; 721.605; 18
0.1; 0.00836643; 833.424; 18
0.1; 0.0073833; 945.239; 18
0.1; 0.00660692; 1057.05; 18
0.01; 0.1232; 18.5362; 423
0.01; 0.0416105; 121.931; 570
0.01; 0.0250326; 242.661; 456
0.01; 0.0179008; 358.085; 420
0.01; 0.0139317; 471.476; 409
0.01; 0.0114032; 584.195; 404
0.01; 0.00965159; 696.566; 402
0.01; 0.00836643; 808.765; 401
0.01; 0.0073833; 920.88; 400
0.01; 0.00660692; 1032.9; 400
0.001; 0.1232; 1.90388; 1621
0.001; 0.0416105; 28.4689; 6738
0.001; 0.0250326; 97.4228; 9433
0.001; 0.0179008; 187.255; 10869
0.001; 0.0139317; 283.84; 12135
0.001; 0.0114032; 390.095; 12720
0.001; 0.00965159; 505.462; 12593
0.001; 0.00836643; 626.518; 12027
0.001; 0.0073833; 749.259; 11342
0.001; 0.00660692; 871.096; 10733
